Id,Predicted
b195512cbb62cb519b3f24c8b,"Soon after the Normans began to enter Italy, they entered the Byzantine Empire and then Armenia, fighting against the Pechenegs, the Bulgars, and especially the Seljuk Turks"
1f3d72bdc6fb83c6a0976dbc7,Soon
c2b2cfafde54c5ecef631dd1a,Soon
fd9e339fffb0b17a3fd4a5ca9,1050s
e28bd20125a4dcecde9e2a3c7,1060s
da77de5da8d2c82caa69761de,Byzantine general Alexius Komnenos
62def55d4f4ddee5a0da9a8e1,Hervé
b0ed7c5bdb76afee64c1efe3d,1050s
39042bbcb7cf90eebf8930af1,Byzantine general Alexius Komnenos
f162e92e75708ae9cbc4a81c6,1060s
b3a6e2dbd4cdbbdaaeaa72e0b,Oursel
b5aeec4f43ffc7ddfd9d06bb2,Oursel
3d5fcf495e3a74a252f2a868c,Sassoun and Taron
2bdda2bbbe823cada73cc237e,Some Normans
cebf8a5bf84eeb8e2bccd2a1c,the Armenian state
77135bc6bc607fac3539ccaca,Oursel
7586eb752d4a0b17d5815efb9,northern Syria
eefaec5540e6f089aeb54ee58,"Raoul, the Petraliphae were descended from a Pierre d'Aulps"
d05f9056b66da7fcade67e0aa,Byzantine Greece
8b9fc1cdb4b01fdd9fcdebbab,George Maniaces
8b62f439192ff71a4df7f0aba,Several
b4fa2cd04d04cb9bac3b3f62d,Robert
7b59101ad4fe467c82afcb24e,February 1082
afdff9a4efcaa9dccdde8fea8,"30,000"
b670aea59e6fd62c6ebafacc4,Robert Guiscard
deae26b8fde1c8e6fc58ecdae,Robert
d01ad7e7a9fe359d2f99b89cf,Robert
cad8c0c074d0ae1ddb05ce143,"30,000"
2ebfbde5e5bdac6a6baeaebec,Deabolis
615a1cb86d8469f5aca359b40,Bohemond
cdd4ccdf6d4d760f27f015dfc,Deabolis
eadc38ee9bda8cdf3c9aaea81,A
28e13b657a1a9e333b91dada9,Bohemond
6b747befe3dc0cebdd42e6cbe,Robert
bba673a5c1bcf7b3ffdcc2481,1185
dc5f90dbea42f9775c2ead658,Dyrrachium
fbcad2e11e3eb1a13c6ed6a4f,the Adriatic
e66b8f8d64ac5392ca3058dfd,Norman army
bdefadbad6fe4b69ffbf7eb35,Byzantine officials
c38b4e1cdbfdfcda0eefa4fb1,Dyrrachium
d350e18fecbacbbc15cc61cfe,"Duke Richard II of Normandy, and King Ethelred II of England"
8c94ad4f3052ed0a80d2232f1,Duke Richard II of Normandy
a5a84b27f560199adaaf37a84,Normandy
53dc0f7dcbb5362d3a5c52b3b,"The Normans were in contact with England from an early date. Not only were their original Viking brethren still ravaging the English coasts, they occupied most of the important ports opposite England across the English Channel. This relationship eventually produced closer ties of blood through the marriage of Emma, sister of Duke Richard II of Normandy, and King Ethelred II of England. Because of this, Ethelred fled to Normandy in 1013, when he was forced from his kingdom by Sweyn Forkbeard"
b8e4a14f3ddccd4e038af11ef,The
4d39430e5f46c88f9ccfcdda3,1013
79efc8317afe9795b091a01bb,The
a6f2b66a3dc6c645ce161ab09,Harthacnut
ddff6a3a92de9e6f9edbf721b,1041
8bedbc24da1ddd36a1733ca8c,"When finally Edward the Confessor returned from his father's refuge in 1041, at the invitation of his half-brother Harthacnut, he brought with him a Norman-educated mind. He also brought many Norman counsellors and fighters, some of whom established an English cavalry force. This concept never really took root, but it is a typical example of the attitudes of Edward. He appointed Robert of Jumièges archbishop of Canterbury and made Ralph the Timid earl of Hereford"
22bc5a4c87c37ef632ad04beb,1041
5f50be7e8d9d3ed6f9e3b5477,English cavalry
7358dc9ffcfee26ac13d01cfc,When
7803eb6bd6d8b4eb4e41a92ab,Battle of Hastings
bb4c01bfdaaa09258b02da4a8,Duke William II of Normandy conquered England
ad50245e7a8ceae5b93c0a1dd,1066
eaf9fe88404d3b414bf7acdfa,Anglo-Saxons
5cf0eacf608be4fbbaa6d6afd,In 1066
c1af654abeaa16b48afde9aec,In
d6b2d57f4739a9a2feef8c4cb,Anglo-Saxons
eda2b2973c8fe6a16f7b1be6b,Early Norman kings of England
17ce6bfe0ab77da2feacdd5bb,Anglo-Saxon
4b7ba8f0a4f99bdb9bf60ffc5,the Norman aristocracy
ab1606b91cbbcbf5ade101a6a,their subjects
cadaeae6e8c751bc99da3a6fa,Eventually
2302a5fed0b3369b8b791f47a,1169
d6f2ce66f212e0fe8accbaefd,Bannow Bay
6cfe8b1093d69aeaabdeac6c9,Irish
d026f2d7c8c6ce5dc70afbcd5,Bannow Bay
3b55ce9fbeeb2db5a533c9475,The Normans
cdeb66dd7d3aff6a83ccecf34,Trim Castle and Dublin Castle
4d5afe5efbb76af2d668071f3,King Malcolm III of Scotland
e4aabb6949b5681c551122c3b,King Malcolm III of Scotland
63ca4cc4c6d71e6d092b241ee,1072
17cc0f500bcddc6ebe2e6b5a4,One
d9ecfbaddcbc586fedc06ade4,One
312db27fb16fe0afa64cfb718,One
b218c6f5ac667acc810647aee,One
d21dd82fe2a3edfeddf530a94,Sybilla of Normandy
5edce98cfc9de9c1aeff7c4c3,King David I of Scotland
4fca2ffa097b25db00e23795f,Sybilla of Normandy
4c62fd0af4bcfbfdaccb106d3,Normans and Norman culture
ed3c89d847cae4d25c5f4fed9,Hereford
a4ecabf1d1ac9024d38289b75,"Even before the Norman Conquest of England, the Normans had come into contact with Wales. Edward the Confessor had set up the aforementioned Ralph as earl of Hereford and charged him with defending the Marches and warring with the Welsh"
269abfc943cf2a15587efbd1f,"Even before the Norman Conquest of England, the Normans had come into contact with Wales. Edward the Confessor"
1edcd33d1d4ddfbf9e99875a3,the Normans
ac9bb0b280c6ae7b017c9baaf,Ralph
ecc6915fb8a23dbdfb0ebbe42,Shropshire
885bdcfefaa45d69fc7eb86f9,Subsequent
bbee75bd26ea6be2ea940095d,Subsequent
ccb690e6835c7b0cfe3f92ac6,1018
b69c5c027a2cdbbeb1c736376,William of Montreuil
9f0cc4c0dad2bd7a4bcecbdde,Antioch
abb15538cd76dac26536745dc,The legendary religious zeal of the Normans was exercised in religious wars long before the First Crusade
36e42c5bb8e495d2dbb92b5ea,Roger de Tosny
95fb9a221b063f6a0070f7ec9,the War of Barbastro
c2bdaea08f1dbb165cfce2c7b,1097
a7aca0a5b7cc008c94cd3f388,Tancred
b2d9577817dc2b85ceeb714fc,Jerusalem
af2fda6a9bd8b7bae65cc75f2,1096
d7c025c5aa2e5c3cc2ba699b3,Tancred
2a2e7ef2f9e2d57f0ddd77d1b,380 years
044fbd10a12bb47be0445c5e1,The conquest of Cyprus
c18cfcd9c1dfdbc78a4b5ecdf,The
0deb8a4afd5bd6bfea059af43,Lion-hearted
d46d5ecabffcc93fc7753a314,Berengaria
8007a2e70503a1ffbfaec9d62,1191
cafbd0ff2a3c6c0dca8f0b3eb,Richard's fleet arrived in the port of Limassol on Cyprus. He ordered Isaac to release the prisoners and the treasure. Isaac
5d55ee149b9a67301eef7eaa2,Richard the Lion-hearted
e2e292598fccaa1acb9add3a5,1191
c1bd7d1ef6ccd52b3eb50d2af,Isaac Komnenos
baac4605f9057ac90f686af0c,Conrad of Montferrat
29cb4aefacbd53caef15d8e0a,silver
f772b51c202f383fa46df1638,Guy de Lusignan
37a69cefaca29a42db43f6ee6,Various
a91ffebcc228a7ade2bc0787d,Guy de Lusignan
2cc4a287dcc1eefedf820a60e,Richard
5b28f8cfae36c7e23f852796c,Africa
cd1c734c992c0cb81ecee80aa,Between
3f21b55aafea07248bbbcb3eb,"Lanzarote, Fuerteventura and El Hierro"
f61cd27d1f56d748df16a53e6,Bethencourt
1d14abff37fe4bce2ff4ff1fd,Maciot de Bethencourt
75dbe2c7446b0bbfa59f2cbed,Jean's nephew Maciot de Bethencourt
c90f71e4dcabcb1aafcd80f47,Castile
1deec6c56ca2fab0bce8ea4f0,Jean's nephew Maciot de Bethencourt
f0d1d6dbc6be953a5aabdab28,Channel Islands
de50c90ff7ae789bdfebfecb3,two
924ee92ad3cc7aa2732a6ba91,Très ancien coutumier
0798148fad48d114eceebee3f,The customary law of Normandy
5e2c846a8cdc7abb32daeac05,The
9ec7dcb08d4db7bad8089eadf,a new stage in the architectural history of the regions they subdued
6ca2359c8e0a17620aa42df35,rounded
2bccd7b11ab8dabcabbdab4aa,rounded arches
d860a4aaa5ee95d09899e0edd,In
f4aaa69a30d2b14934096002f,In
4c3d2123e054409cb0cc4831c,In
c8fdacfd8dfe72cde4dedb65b,the Early Gothic
6ab48b35fac61a5ffa0be9efc,In
a8370f7b0dd4dcfe8bca8ca14,the Normans
bddea68bab3aa46b0e0bfdf6a,early 11th century
c8ce0d6cfbb98efcd76a54dc6,the dukes
5a1be08afaab7ec87906c1f9c,"visual arts, the Normans did not have the rich and distinctive traditions of the cultures they conquered"
c95dde47a60cc0c50c9e4fdfd,the dukes
992badbc03255eafbbc4de5ff,In
3d6a328cb63ffacbcdb276fe4,In
c99fa2fea3f9d28a92b6a0fce,16th century
6bfb5cd7eadea290e951eae5b,The
767b6cbbdfc03fdfaf1eede8d,The
fd8f25ee05018fc5a9f6fd7dc,"Norman art is the Bayeux Tapestry, which is not a tapestry but a work of embroidery"
68aba8fd415c7c505b8fce818,Bayeux Tapestry
c0c5ddf0fac57ab17e96a1798,Odo
ca0be963cddaf5dc08fce7184,Bayeux Tapestry
baa896e87f190fb9e49e6e91d,"Odo, the Bishop of Bayeux and first Earl of Kent"
ebaeaebc2bc7d83ce098e3bd4,royal regalia
bfbcbd1ef9fb6646a0aa0f488,stonework or metalwork
78f0c4ebbdbad59dda7c79d36,mosaics
4ba814db673ba95595074c55f,Lombard Salerno
cec2ebac1cfae615a1a03c37b,11th
dde01eb8c4bfb806a56abcd8f,William of Volpiano and John of Ravenna
af7ec421b12557da1ec515cec,Normandy
475019d0f1eb99b5a6c5cbcbb,Normandy
e6ee27ee4fdedfcc24d630eff,southern Italy
24ab78fab9bb7ee43927ac8ea,Sant'Eufemia
079dff033ccebfc8f8a4427b1,Robert Guiscard
a7cbf33ce1c7a1b1add95e11c,singing
7fd3513eb46cbb81af1eb2dda,At
8d64c7fd0692bc1fbd1d6f1e1,Computational
d6ba5eaa76c117c1edaff3c89,inherent difficulty
e048bead7e66f4efe3cfd9ef0,"Computational complexity theory is a branch of the theory of computation in theoretical computer science that focuses on classifying computational problems according to their inherent difficulty, and relating those classes to each other. A computational problem"
3b787496ad7cca3329b9ac683,a branch of the theory of computation in theoretical computer science
0ac36f5cebcdfe6f4d68f5bb5,Computational
cd79efabf7a399be3f9e9d349,A computational problem
c5d2d2407da992cac49a0deaa,Computational
18b1a4cd54d4f5a65ccff4f2c,Computational
b9ad885eaff1d264c1696deb9,A
becdca655e21ba9a1f0db0a9e,A
4bebc8d2f05ac0ffafaabf51e,A
4bc56d46a08fb899afff6dd11,A
3bcfb580daa31b0e83acfd7bf,A
2c9dcaa2ba5fdca5fab99a3c4,A
eb4f671786ab7ebf16b51a734,A
eccded7fecb6edf4e6bd602e7,A
a9bccf8455ea6dcdb2b907262,A
9eabd76bb53ba13d1be2edcc5,"A problem is regarded as inherently difficult if its solution requires significant resources, whatever the algorithm used. The theory formalizes this intuition, by introducing mathematical models of computation to study these problems and quantifying the amount of resources needed to solve them, such as time and storage. Other complexity measures are also used, such as the amount of communication (used in communication complexity), the number of gates in a circuit (used in circuit complexity) and the number of processors"
9bf5facb3ed9e6dbfa6cee0fb,Closely
82ef648314b95e6a6cc290cf7,Closely
0297d9cca636f0fbd47b70b76,Closely
ed0babac9c3bb774cbde9d1bc,Closely
a7e0c5baeaf2aaa503ffbbad6,analysis of algorithms and computability theory
2f0b0d0073727e5e533dc48a5,Closely
b12baecfa6881ee90b5b8fc78,Closely
313dbbdfaffe6841dac2c9f7e,Closely
c79deaac7520e2fe5b3ccf35f,Closely
be6e67da25ddd4bc7dbaf66ed,"a problem instance, and should not be confused with the problem itself"
d9c8bafaf9aebacd9ec72a3de,A
9bc2faeeda4dd5c5e33c824aa,concrete
dccfd36004b11b9e9a6742f9b,A
e957a7fc1ab3a42703f31f9ee,A
560872c38db0ea5beebdb57a0,A computational problem
ffedce85edd6aeed5fb7dd8bc,A
8fd6c0a1db7c8e38c6a498ac1,computational complexity theory
d563a1fc4d75dbc22eafffcd7,the solution
bcabd8cddb19c146ad369a7ee,A
d859d15bcb7739ac6e274e047,2000
efde9dfcae8de7f1fb186df01,asking for a round trip through all sites
bc7bfc559c0aba75ddfacf3aa,To
2ddf1fdacf4af06ba45a9ebdd,To
8f7cb88ea4afc25b83b7a332f,little use for solving other instances of the problem
25fae4d33d8a3b7bc6bfcadc3,To
ec5b8ae90ddd599516f8c85be,To
a7bb0c021b70cd8bb1c5bde79,"a problem instance is a string over an alphabet. Usually, the alphabet is taken to be the binary alphabet"
de20880fbd70e8d95b8acf0e0,binary
efc3b525a1fcdd088a46d0bda,"When considering computational problems, a problem instance is a string over an alphabet"
6411f10dba3cff5eccb7cc01b,binary notation
5569959e5ba7fcbdfaebfee25,"binary notation, and graphs can be encoded directly via their adjacency matrices"
1cf3a6ee7bbcefa7a80be8cb9,When
bec8313dd124eec97deabdce9,When
cef085733eea49663b6f3848a,a string over an alphabet
c3de202ba8e55bcbdb6f85ab0,When
6e9ab3aeadf2e7a0cb7df48fd,via their adjacency matrices
e2bbbc61dba1371b1163ac34e,Decision
ad4ff3a56db8c73f5d7120b71,"yes or no, or alternately either 1 or 0"
6fcf2ddaad70d60f5fb77a426,"yes or no, or alternately either 1 or 0"
4accf3457fb90966b8f3cc207,Decision
c8cbed5b07bed7fda6099e5af,Decision
caaa3fcbcceadf5a0731d58aa,Decision problems
1c8afc70a96435c4ed7e28cdd,Decision
5d13cccfc4191d7340de1d7ab,Decision
a8c4bfb3c43ccdcfba6312faf,"Decision problems are one of the central objects of study in computational complexity theory. A decision problem is a special type of computational problem whose answer is either yes or no, or alternately either 1 or 0"
c3d4efa1cd4baeb772af2d94b,Decision
c7c82f389cda2ff3edbf91fb2,arbitrary
2e45ae6cdc898982bbe1c611b,binary strings
819fadce96a5aadff24a0abb9,"An example of a decision problem is the following. The input is an arbitrary graph. The problem consists in deciding whether the given graph is connected, or not. The formal language associated with this decision problem is then the set of all connected graphs"
04ab24c55b6067b4f35e8746c,arbitrary
e2a596938ddc6aff8a92acd69,binary strings
0aecacb8d350c8ca2f6c0ade8,"An example of a decision problem is the following. The input is an arbitrary graph. The problem consists in deciding whether the given graph is connected, or not. The formal language associated with this decision problem is then the set of all connected graphs"
3ce886c0ec50f4fbaccce7c2d,An
f9b1c7ca8e161ade4d1cf4fb1,computational problem where a single output (of a total function
eafae453f1062c13f85ebcba9,A
0d4028ab743db9b051659ac02,integer factorization
8fa1d544e5b8ecc41bafbad16,integer factorization problem
241f99f68ad0abef7b81c1d5c,more complex
937b47faf4b6ecfdcdb836b85,A
bbe58544fcdfbd4cbc0cbac3b,a single output
ab3aa5ed30f6bd47052e67919,A
1da4497306ac351c8ef92bc7b,A
d1d9fe5e7acbae3f939554cb2,more complex
c4cbdf2abf6afbcf57cfd5f85,decision problems
c47269fa73a14dffed471faa0,It
90db4e91fad3c9c21d0c32bb8,function problems
8a485f0cc5967bd7222e200a9,It
599fe8c7e372b3fd8e5b0fccb,a given triple
cf939bc4857198cff81583b78,To
bec6cedd3324e0f54bd4f0a90,"To measure the difficulty of solving a computational problem, one may wish to see how much time the best algorithm requires to solve the problem. However, the running time may, in general, depend on the instance"
0beeec70cec01c164b5fb5881,"To measure the difficulty of solving a computational problem, one may wish to see how much time the best algorithm requires to solve the problem. However, the running time may, in general, depend on the instance. In particular, larger instances will require more time to solve. Thus the time required to solve a problem (or the space required, or any measure of complexity) is calculated as a function of the size of the instance"
29e5be8cc28d28bbbc4ad223f,To
ce0eb9dd310ca7abd77eda7e1,To
0e77c7fe8980997bdd2fc16b8,To
90eab9c30b9e1f456c56e343a,To
4ef6bb4bf51bd5aa93fdd2eb6,"To measure the difficulty of solving a computational problem, one may wish to see how much time the best algorithm requires to solve the problem. However, the running time may, in general, depend on the instance. In particular, larger instances will require more time to solve. Thus the time required to solve a problem (or the space required, or any measure of complexity) is calculated as a function of the size of the instance"
1bafde27aecf77c96e94e7eb0,Complexity theory
f107f5fe68f6eb1d6dc998dbf,To
5bbfd8ef3195fb4faa79e5cfc,If
d7adeaa62eedaca8ef6fea9ee,If
30ceaecefabfaebffd5eceade,If
1659132d0b3de92a3dc4d6d61,If
2e712abeaeb4cd9413bb046d8,If
d7ad2d9c26c91b65b6f86c192,If the input size is n
858abc5d1ca32167dabdfabde,Cobham
cc3edbfb503fea8c876afa87a,If
6b50fe9dafc7bd8e600f8a87d,If
84bcfc9fab01d569ac977be12,If
fcd6869b5df7be793fa3ed495,A Turing machine
b807fcdc2fa8ffde45a8c9bbb,"A Turing machine is a mathematical model of a general computing machine. It is a theoretical device that manipulates symbols contained on a strip of tape. Turing machines are not intended as a practical computing technology, but rather as a thought experiment representing a computing machine—anything from an advanced supercomputer to a mathematician with a pencil and paper. It is believed that if a problem can be solved by an algorithm"
d3bcfc78889baab2af7fb4fb8,Turing machine
ccf104ee040fd016e0f5aedfd,A
eba02da4dd64936d8bfabfcc8,A Turing machine
b86faa5dddb1d69937dba1516,A Turing machine
ec6cc7d1331d0ae5d8db8dd3e,A
190c9ac9ad9977aff9d6e5dec,A
c14f8f1ebeb689381e6c8ee73,A
13a0a68c740c2bb70befaf6bd,A
bfef9d68f966edaaf8edc9e96,deterministic Turing machine with an extra supply of random bits. The ability to make probabilistic decisions often helps algorithms solve problems more efficiently. Algorithms that use random bits are called randomized algorithms
8bf6e7aa947caecfba364f4f4,A
d52d470cf16da6a8cadca941a,randomized
78c5f660ddbc66612edf74d8f,A
9c3c7c3e31bad1eebc321ae22,A probabilistic Turing machine is a deterministic Turing machine with an extra supply of random bits. The ability to make probabilistic decisions often helps algorithms solve problems more efficiently. Algorithms that use random bits are called randomized algorithms. A non-deterministic Turing machine
f8b5a3feff3d502ee6ce75599,A
bacd05dbd72bbb6ca78eda85c,A
a358fec205abbcacc1b52fdb8,A
e92fe4c4fbbf777c7e6dc1ece,complexity classes
c2d7568b75d7b472a1e51aec4,Many
2cf7badae7b4d7b4c7fce22ba,"deterministic Turing machines, probabilistic Turing machines, non-deterministic Turing machines, quantum Turing machines, symmetric Turing machines and alternating"
26bc62affaeaad7bcb91d5b15,Many
de2eac90c5d9f12a1036a1b9c,Many
f3027fc2ea679a83ccfd6d61d,Many
4d66e26b5ddcced18c8da2ce4,Many
aadcdb41c08baf81d4c89cd7f,random access machines
cb608f921ed6bafb3a6a853be,Many
d2d54aa3f282dada533e6ca6f,Many
a5de32e7193d2f7da8c1a94cf,Many
98cbe4250e99d36efd90b3ac4,Many
ca359b9ce723aca5b32c48b84,Many
c025bfbfc151cbfbca2ea3ee9,Many
cc99ca36e371ca28a7abe0ffd,Many
edb9b42ad0cfc3fcfb2fecefd,non-deterministic
3ce5e44b7a3b6be6c72e56c9a,However
0addf9e64b54c7a9b6b5d72b3,computational problems
f54ab1e8135cae2ee741c7d55,"However, some computational problems are easier to analyze in terms of more unusual resources. For example, a non-deterministic Turing machine is a computational model that is allowed to branch out to check many different possibilities at once. The non-deterministic Turing machine has very little to do with how we physically want to compute algorithms, but its branching"
8f3a89adf8ee3370f40b765e0,"However, some computational problems"
c45903fb2c0eec019f9af8c14,non-deterministic Turing machine
da158e662cb6dcb9822d399cb,non-deterministic Turing machine
4dfcec4b8fbd3aa04331bfd07,However
3cc7ba3cb6bdbffb3ec4cfeb7,However
01da80ae47c64d4c87757fd86,For
ab5eefea9fb5cf5ee8fdf4ade,difficulty
cbeee29daa5cbddd34fceebe5,For
f64deece5ef51eca8d7b341dc,For
e7a9ba59a406c8f3bd20e96d4,For
4b6412a2ccf6e058ca7d4bea0,For
291cf4787cf3acc1cacb36355,For
9a23e9660ac1fd24ffeceeb3f,For
d3f568fbd43f9b5d5cbbcf3da,"For a precise definition of what it means to solve a problem using a given amount of time and space, a computational model such as the deterministic Turing machine is used. The time required by a deterministic Turing machine M on input x is the total number of state transitions, or steps, the machine makes before it halts and outputs the answer (""yes"" or ""no""). A Turing machine M is said to operate within time f(n), if the time required by M on each input of length n is at most f(n). A decision problem A can be solved in time f(n) if there exists a Turing machine operating"
b16d4b813b9b48baccfabbe6d,complexity
5b2725b9d36b2f1df98fea5f6,computational
abbebddd073307f44f8e9b4d5,Analogous
ddca8bfc021c1edca215fd411,Analogous
ec3eccbdeb4bdaddefa5d4dca,Analogous
ee63cf2affc7dba6aeb355ce2,Analogous definitions
e2b14cbd0acd28e0b0a2f30ea,Analogous
dbaabb1cc90eaf2293fc1bc95,Analogous
dc1d80dd237fe270c1033eaa9,Analogous
daddfc2da697573ce811bcca4,Analogous
dccb29726b5fc164adbedadcf,The
404c3f78e5dd7ca2eba14f792,The
880fcbd76ee3918dbf1ebe67b,The
37dde13eb21f29b99b01cfdbe,The
a18c5ddcbd8b5af0cfbbadc27,The
afaffb81bec9a2934ccca9e39,The
b6f7189dd40cb7fc5ceccc36d,The
ace457fc62b5767c1310a2d55,The
5c75b7eb50127fbdce16e71de,"For example, consider the deterministic sorting algorithm quicksort"
55de7d614ced4cca5dccc2fe2,For
4a24d7fa5b7cee7e8d94423ef,For
9b869d542c594e0de128dfbc1,For
bcdeaef44a0bf79160dddafd2,solves the problem of sorting a list of integers that is given as the input
61eaec7bbcad69cafe15a7c20,For
e50b0ce1a8e50180eada878e9,For
f9bb7dcbba5aa5257fbbec1e7,For
d6b0530cb9b8529cdb67f91ce,To
897beadecfdb5c9c4dc8bf2f9,"To classify the computation time (or similar resources, such as space consumption), one is interested in proving upper and lower bounds on the minimum amount of time required by the most efficient algorithm solving a given problem. The complexity of an algorithm is usually taken to be its worst-case complexity, unless specified otherwise. Analyzing a particular algorithm falls"
bd9a893533cb4a60efceb50d3,To
be7c5905bb5f25662ecfd8e8a,worst-case complexity
33dbba1d3efc5a9fcda2514c7,To
d59fd9a16a0abd9b1cf3abf6e,space consumption
fbdaf999db06e748fb06bf4ea,"To classify the computation time (or similar resources, such as space consumption), one is interested in proving upper and lower bounds on the minimum amount of time required by the most efficient algorithm solving a given problem. The complexity of an algorithm"
ebbb225c92cfad7dbecf271ed,To
dadb1e1cc819ee5ffb0bcedb3,To
c26fbeb2e2c4ec36eaee2b604,To
435bc4cb1cc878f6c7a73193f,big O notation
d9ecf19bcb413dff8f1e2007d,constant factors and smaller terms
184cef06aa1eafd3245caece2,"7n2 + 15n + 40, in big O notation one would write T(n) = O(n2"
5eeeec38379c4bd3cbc9e396c,constant factors
fbc67df6e223660cc9f27b3c8,Upper and lower bounds
08817c652ebeaddf6dc153d6d,Upper
fe7decebee016e80dabf5a578,constant factors
d70bdb0adbbf0b9a696d3bef1,Upper
e1bfd4afe109f84c12bdcf7f3,"Of course, some complexity classes"
adeaf7a7defce4019d5a4a04d,Of
572cd638cfa9e653c3acf7d5d,Of
14a0ecea3bfe63fe3aeaf7fab,Of
2d396efbff85e1fe8e51fce9f,Of
cd792bde3aa09f6525b6f91fb,Of
ad2704bcf0ffd61da7c6bec70,Of
ecb7c91a11aee471b491b20ed,But
98eacbfbb923f6f1dd0becf5d,quadratic
da14bbf8eef0d14addeeeae3e,single-tape
0cc93a4ec85aa7ea51baaff57,Cobham-Edmonds thesis
dbde7f277f5a5e97adf3d65d6,complexity class P
b83917eaa6bdb183fbec3fc3c,But
cfed186d210ee9204c8ce4333,But
bee7db692006339ee7e3f223e,But
bd953dc2516abf4afff6ca46d,But
501c1f1caaac6b275c5a5cd22,Cobham-Edmonds thesis
bfe42a1097ae8fa034ed9d5c1,Many
dadd0942535eebb7cc18ab16a,complexity classes
bc6dc7b2a153e01bf616be6da,complexity classes
bbe93cc3cca6ecbbaa8500149,Many
e8e5b9fafeec7637b6af85948,Many
3b47fedb72edfcf671bcba5f7,complexity classes
ec6d7ee1fd9b142deb2ee29d8,Many important complexity classes
cc22a0e25b5dd60fefaf8fd1c,"BPP, ZPP and RP"
aff8adf38a2bdfd4aeb9fe5d8,Boolean
c22ac4fddce3ebb3ae0da9faa,quantum
afbaf8047bfc5d1ab49c9e5a6,#P
73bc24739a2eabc4b2bcff4a3,Interactive
e92d30dab1b4dfbe00d59c75d,"BPP, ZPP and RP"
dead173beaed50e4d38a3fb2e,Other
edabf3ccbacc1ffdbad75b0cf,Other
a1bfce4dee24bee05ee3ece59,#P
9d0f5dca3af98189afb4ecba0,Other
7d3d9bdf3d1b0bd594b249d5c,relaxing the requirements on (say) computation time
d6c5cdeddcb517fe1656debb5,"For the complexity classes defined in this way, it is desirable to prove that relaxing the requirements on (say) computation time indeed defines a bigger set of problems. In particular, although DTIME(n) is contained in DTIME(n2), it would be interesting to know if the inclusion is strict"
f06f5fff211d8521eb1195e5c,For
4dd06c5ee52fef51feadddb8b,For
29abcde64aaf94f60abd960dd,For
f4f4a1d70e2dfcce4f47f4bf5,For
ab8da2c80ca697dbcccde7e9a,For
4cd44562a287fe68ab7bb7a3f,For
e6f7cce33c7a5a38e1557f0d0,For
3f6ffcdf353abe046ac47aa50,For
4d5febb1a55efbfddd97b4a57,The time and space hierarchy theorems
aca22d178ea2cf9a2aa4cac9f,The
2e34fa3fe0ca01aa2b9b98e33,PSPACE
0ef2eba5e24fa8c9d74cad97a,The
bb52fbc0c1d2a000ee0eedfa5,most separation results of complexity classes
64cbf1fcc763f70114eae1fcc,The
61e9c4530c4ee77c6e2dcfebb,The
300abba7ee87ae7ef5bcee5ee,a reduction
384e9afab81aba8e9faf6a4af,Many
ab10c3a9d6bf2f62ea9c8eeeb,no more difficult than Y
